,text
186,"b""There are a lot of plans out there. Check your options and lock in the one that's best for you: https://t.co/buFY9ozDz4 #GetCovered"""
187,"b""The positive impact of #Obamacare is undeniable, but there's one big factor holding many states back: https://t.co/7XebIdRX34"""
188,"b""RT @POTUS: It happened: @Cubs win World Series. That's change even this South Sider can believe in. Want to come to the White House before\xe2\x80\xa6"""
189,"b""Tens of millions of Americans have benefited from #Obamacare. Make sure you're one of them. #GetCovered https://t.co/e1KoXcPtpU"""
190,"b'Thanks to #Obamacare, quality health care is available to everyone. The marketplace is now open\xe2\x80\x94make sure you and y\xe2\x80\xa6 https://t.co/89gl6pzMGD'"
191,b'RT @lacasablanca: La t\xc3\xadpica Latina tarda 22 meses en ganar lo que un hombre blanco gana en 12 meses. Tenemos que cerrar la brecha salarial.\xe2\x80\xa6'
192,"b'RT @WhiteHouse: On #LatinaEqualPay Day, we mark the work that remains to ensure that all Americans receive equal pay for equal work. https:\xe2\x80\xa6'"
193,b'Community organizing never goes out of style. Shop now: https://t.co/LXEbQdKLLT https://t.co/E56ofoU36i'
194,"b'With #Obamacare, people can focus on treatment for pre-existing conditions without the fear of coverage being cappe\xe2\x80\xa6 https://t.co/jvdFY87XBu'"
195,"b""The Obamacare marketplace is now open. If you're uninsured, now is the time to shop for a plan and #GetCovered.\xe2\x80\xa6 https://t.co/Spjlga4eTT"""
